Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,336,110797,81072,51428,10056,17227,68,12498,57091,204,489
C:\Users\great\Desktop\TAS-ActivFORMS,336,110797,81072,51428,10056,17227,68,12498,57091,204,489
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS,336,110797,81072,51428,10056,17227,68,12498,57091,204,489
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform,60,29441,21718,12988,2948,4154,12,3569,17736,32,46
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src,60,29441,21718,12988,2948,4154,12,3569,17736,32,46
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\profile,5,405,200,153,22,75,0,130,415,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service,49,26697,20055,11836,2684,3690,12,2952,15395,20,34
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\adaptation,9,490,172,122,12,76,0,242,953,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\adaptation\effectors,4,265,99,70,5,41,0,125,474,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\adaptation\probes,5,225,73,52,7,35,0,117,479,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\adaptation\probes\interfaces,2,81,15,13,0,16,0,50,316,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\atomic,3,201,108,76,17,26,0,67,349,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\auxiliary,19,1336,672,491,100,192,1,472,1672,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\client,1,105,65,51,4,13,0,27,89,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\composite,3,739,422,295,91,87,0,230,1064,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\messagingservice,2,201,93,66,11,36,0,72,237,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\provider,3,70,19,15,1,14,0,37,195,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\registry,1,131,96,70,16,18,0,17,56,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\utility,3,126,70,50,12,29,0,27,54,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\workflow,5,23298,18338,10600,2420,3199,11,1761,10726,2,16
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\workflow\ast,3,23208,18297,10565,2418,3183,11,1728,10579,2,16
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\taskgraph,2,1569,1119,753,187,244,0,206,726,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\tools,4,770,344,246,55,145,0,281,1200,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui,248,79590,58152,37503,7034,12684,55,8754,38923,151,422
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build,222,73572,53888,34146,6696,11374,44,8310,37928,136,326
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build,111,36786,26944,17073,3348,5687,22,4155,18964,68,163
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src,111,36786,26944,17073,3348,5687,22,4155,18964,68,163
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\activforms,9,522,359,288,14,113,0,50,141,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\activforms\engines,3,248,161,143,3,43,0,44,120,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application,23,5701,4100,3216,332,1186,9,415,812,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\Node,3,343,183,153,6,59,0,101,151,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\log,3,255,203,161,10,51,0,1,1,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\model,3,199,150,114,13,49,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\utility,5,526,329,247,40,114,7,83,273,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view,8,4300,3174,2487,263,897,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller,8,4300,3174,2487,263,897,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\profile,5,405,200,153,22,75,0,130,415,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service,49,26697,20055,11836,2684,3690,12,2952,15395,20,34
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation,9,490,172,122,12,76,0,242,953,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\effectors,4,265,99,70,5,41,0,125,474,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\probes,5,225,73,52,7,35,0,117,479,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\probes\interfaces,2,81,15,13,0,16,0,50,316,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\atomic,3,201,108,76,17,26,0,67,349,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary,19,1336,672,491,100,192,1,472,1672,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\client,1,105,65,51,4,13,0,27,89,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\composite,3,739,422,295,91,87,0,230,1064,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\messagingservice,2,201,93,66,11,36,0,72,237,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\provider,3,70,19,15,1,14,0,37,195,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\registry,1,131,96,70,16,18,0,17,56,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\utility,3,126,70,50,12,29,0,27,54,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\workflow,5,23298,18338,10600,2420,3199,11,1761,10726,2,16
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\workflow\ast,3,23208,18297,10565,2418,3183,11,1728,10579,2,16
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas,19,1122,767,581,54,234,1,121,275,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\adaptation,2,83,51,33,0,21,0,11,22,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\adaptation\simple,2,83,51,33,0,21,0,11,22,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\configuration,4,388,266,227,18,78,0,44,92,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\services,13,651,450,321,36,135,1,66,161,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\services\alarm,1,17,12,8,0,5,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\services\assistance,3,259,175,119,9,46,0,38,83,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\services\drug,1,22,16,10,0,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\services\log,2,149,106,83,7,27,0,16,39,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\services\medical,1,21,15,11,1,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\services\profiles,2,85,53,35,6,22,1,10,22,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tas\services\qos,3,98,73,55,13,23,0,2,17,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\taskgraph,2,1569,1119,753,187,244,0,206,726,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\tools,4,770,344,246,55,145,0,281,1200,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project,23,5701,4100,3216,332,1186,9,415,812,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs,88,31085,22844,13857,3016,4501,13,3740,18152,53,67
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform,60,29441,21718,12988,2948,4154,12,3569,17736,32,46
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src,60,29441,21718,12988,2948,4154,12,3569,17736,32,46
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\profile,5,405,200,153,22,75,0,130,415,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service,49,26697,20055,11836,2684,3690,12,2952,15395,20,34
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\adaptation,9,490,172,122,12,76,0,242,953,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\adaptation\effectors,4,265,99,70,5,41,0,125,474,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\adaptation\probes,5,225,73,52,7,35,0,117,479,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\adaptation\probes\interfaces,2,81,15,13,0,16,0,50,316,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\atomic,3,201,108,76,17,26,0,67,349,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\auxiliary,19,1336,672,491,100,192,1,472,1672,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\client,1,105,65,51,4,13,0,27,89,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\composite,3,739,422,295,91,87,0,230,1064,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\messagingservice,2,201,93,66,11,36,0,72,237,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\provider,3,70,19,15,1,14,0,37,195,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\registry,1,131,96,70,16,18,0,17,56,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\utility,3,126,70,50,12,29,0,27,54,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\workflow,5,23298,18338,10600,2420,3199,11,1761,10726,2,16
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\service\workflow\ast,3,23208,18297,10565,2418,3183,11,1728,10579,2,16
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\taskgraph,2,1569,1119,753,187,244,0,206,726,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\ResearchServicePlatform\src\tools,4,770,344,246,55,145,0,281,1200,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem,28,1644,1126,869,68,347,1,171,416,21,21
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src,28,1644,1126,869,68,347,1,171,416,21,21
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\activforms,9,522,359,288,14,113,0,50,141,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\activforms\engines,3,248,161,143,3,43,0,44,120,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas,19,1122,767,581,54,234,1,121,275,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\adaptation,2,83,51,33,0,21,0,11,22,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\adaptation\simple,2,83,51,33,0,21,0,11,22,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\configuration,4,388,266,227,18,78,0,44,92,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services,13,651,450,321,36,135,1,66,161,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\alarm,1,17,12,8,0,5,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\assistance,3,259,175,119,9,46,0,38,83,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\drug,1,22,16,10,0,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\log,2,149,106,83,7,27,0,16,39,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\medical,1,21,15,11,1,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\profiles,2,85,53,35,6,22,1,10,22,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\qos,3,98,73,55,13,23,0,2,17,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src,23,5701,4100,3216,332,1186,9,415,812,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application,23,5701,4100,3216,332,1186,9,415,812,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\Node,3,343,183,153,6,59,0,101,151,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\log,3,255,203,161,10,51,0,1,1,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\model,3,199,150,114,13,49,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\utility,5,526,329,247,40,114,7,83,273,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\view,8,4300,3174,2487,263,897,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\view\controller,8,4300,3174,2487,263,897,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src,26,6018,4264,3357,338,1310,11,444,995,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application,26,6018,4264,3357,338,1310,11,444,995,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\Node,3,343,183,153,6,59,0,101,151,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\log,3,255,203,161,10,51,0,1,1,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\model,4,424,272,218,18,123,2,29,183,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\utility,5,526,329,247,40,114,7,83,273,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\view,8,4330,3179,2491,263,922,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\view\controller,8,4330,3179,2491,263,922,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem,28,1766,1202,937,74,389,1,175,432,21,21
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src,28,1766,1202,937,74,389,1,175,432,21,21
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\activforms,9,597,414,339,18,132,0,51,144,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\activforms\engines,3,250,162,144,3,44,0,44,120,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas,19,1169,788,598,56,257,1,124,288,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\adaptation,2,117,69,47,2,34,0,14,35,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\adaptation\simple,2,117,69,47,2,34,0,14,35,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\configuration,4,390,266,227,18,80,0,44,92,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services,13,662,453,324,36,143,1,66,161,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\alarm,1,17,12,8,0,5,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\assistance,3,259,175,119,9,46,0,38,83,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\drug,1,22,16,10,0,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\log,2,149,106,83,7,27,0,16,39,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\medical,1,21,15,11,1,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\profiles,2,92,56,38,6,26,1,10,22,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\qos,3,102,73,55,13,27,0,2,17,0,0
